,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,NC1.0,CNT,Fire Alarm
7376,-4.394,51.79,253.0,400.0,13129.0,20008,939.497,0.52,0.56,7376,True
7377,-4.392,51.53,253.0,400.0,13131.0,20014,939.495,0.54,0.5770000000000001,7377,True
7378,-4.39,51.27,263.0,400.0,13128.0,20009,939.502,0.54,0.5820000000000001,7378,True
7379,-4.388999999999999,51.07,259.0,400.0,13126.0,20003,939.492,0.55,0.59,7379,True
7380,-4.387,50.91,262.0,400.0,13128.0,20005,939.495,0.57,1.942,7380,True
7381,-4.385,50.78,255.0,400.0,13131.0,20009,939.484,0.62,0.66,7381,True
7382,-4.383,50.6,263.0,400.0,13130.0,19996,939.496,0.63,0.677,7382,True
7383,-4.382,50.5,262.0,400.0,13130.0,20007,939.499,0.64,0.6829999999999999,7383,True
7384,-4.38,50.45,261.0,400.0,13132.0,20007,939.498,0.65,0.6990000000000001,7384,True
7385,-4.378,50.31,262.0,400.0,13131.0,20008,939.499,0.67,0.7170000000000001,7385,True
7386,-4.377,50.23,255.0,400.0,13131.0,20005,939.486,0.66,0.713,7386,True
7387,-4.375,50.15,260.0,400.0,13135.0,20013,939.48,0.65,0.7020000000000001,7387,True
7388,-4.373,50.08,259.0,400.0,13129.0,20001,939.484,0.64,0.688,7388,True
7389,-4.371,50.0,251.0,400.0,13133.0,20012,939.479,0.63,0.677,7389,True
7390,-4.37,49.94,248.0,400.0,13129.0,20004,939.479,0.6,0.643,7390,True
7391,-4.368,49.9,258.0,400.0,13129.0,20006,939.482,0.58,0.621,7391,True
7392,-4.3660000000000005,49.87,264.0,400.0,13133.0,20011,939.49,0.53,0.5720000000000001,7392,True
7393,-4.365,49.8,261.0,400.0,13130.0,20012,939.493,0.52,0.5539999999999999,7393,True
7394,-4.363,49.72,257.0,400.0,13125.0,20008,939.503,0.5,0.534,7394,True
7395,-4.361000000000001,49.67,258.0,400.0,13133.0,20008,939.508,0.49,0.523,7395,True
7396,-4.36,49.69,260.0,400.0,13126.0,20006,939.511,0.48,0.514,7396,True
7397,-4.3580000000000005,49.59,285.0,400.0,13113.0,19990,939.512,0.48,0.514,7397,True
7398,-4.356,50.05,280.0,400.0,13113.0,19982,939.496,0.47,0.509,7398,True
7399,-4.355,50.85,275.0,400.0,13123.0,19991,939.507,0.48,0.519,7399,True
7400,-4.353,51.56,282.0,400.0,13114.0,19983,939.51,0.5,0.534,7400,True
7401,-4.351,52.19,282.0,400.0,13116.0,19987,939.511,0.5,0.532,7401,True
7402,-4.35,52.72,277.0,400.0,13119.0,19990,939.501,0.49,0.528,7402,True
7403,-4.348,53.26,269.0,400.0,13115.0,19988,939.509,0.48,0.518,7403,True
7404,-4.347,53.63,267.0,400.0,13119.0,19989,939.512,0.48,0.514,7404,True
7405,-4.345,53.99,274.0,400.0,13116.0,19990,939.518,0.48,0.516,7405,True
7406,-4.343,54.3,265.0,400.0,13124.0,19995,939.516,0.51,0.5479999999999999,7406,True
7407,-4.342,54.57,272.0,400.0,13120.0,19993,939.526,0.51,0.551,7407,True
7408,-4.34,54.8,273.0,400.0,13119.0,19993,939.515,0.52,0.555,7408,True
7409,-4.338,55.02,267.0,400.0,13125.0,20003,939.52,0.53,0.564,7409,True
7410,-4.337,55.22,263.0,400.0,13124.0,20008,939.503,0.53,0.574,7410,True
7411,-4.335,55.4,264.0,400.0,13119.0,19996,939.507,0.53,0.5720000000000001,7411,True
7412,-4.334,55.5,260.0,400.0,13122.0,20004,939.497,0.52,0.563,7412,True
7413,-4.332,55.64,268.0,400.0,13122.0,19999,939.494,0.51,0.5489999999999999,7413,True
7414,-4.331,55.76,269.0,400.0,13113.0,19995,939.489,0.51,0.544,7414,True
7415,-4.329,55.87,273.0,400.0,13115.0,19994,939.504,0.49,0.529,7415,True
7416,-4.327,55.94,278.0,400.0,13119.0,19985,939.501,0.48,0.519,7416,True
7417,-4.3260000000000005,56.06,262.0,400.0,13129.0,20002,939.504,0.48,0.513,7417,True
7418,-4.324,56.13,261.0,400.0,13120.0,20000,939.506,0.47,0.507,7418,True
7419,-4.323,56.2,265.0,400.0,13123.0,19995,939.501,0.49,0.53,7419,True
7420,-4.321000000000001,56.31,272.0,400.0,13118.0,19989,939.522,0.52,0.5529999999999999,7420,True
7421,-4.32,56.34,267.0,400.0,13124.0,19998,939.53,0.57,0.616,7421,True
7422,-4.3180000000000005,56.43,265.0,400.0,13119.0,19988,939.516,0.59,0.637,7422,True
7423,-4.317,56.51,278.0,400.0,13120.0,19992,939.517,0.63,0.672,7423,True
7424,-4.315,56.54,272.0,400.0,13121.0,19992,939.531,0.63,0.6779999999999999,7424,True
7425,-4.313,56.61,279.0,400.0,13119.0,19992,939.523,0.64,0.6829999999999999,7425,True
7426,-4.312,56.65,268.0,400.0,13121.0,19992,939.513,0.63,0.675,7426,True
7427,-4.31,56.77,253.0,400.0,13134.0,20009,939.519,0.61,0.659,7427,True
7428,-4.309,56.19,248.0,400.0,13145.0,20023,939.514,0.61,0.659,7428,True
7429,-4.307,55.4,231.0,400.0,13139.0,20017,939.511,0.6,0.642,7429,True
7430,-4.306,54.64,242.0,400.0,13138.0,20020,939.508,0.58,0.626,7430,True
7431,-4.303999999999999,53.97,254.0,400.0,13133.0,20012,939.499,0.57,0.607,7431,True
7432,-4.303,53.34,247.0,400.0,13136.0,20021,939.51,0.54,0.5760000000000001,7432,True
7433,-4.301,52.85,260.0,400.0,13130.0,20009,939.511,0.53,0.573,7433,True
7434,-4.3,52.43,256.0,400.0,13135.0,20010,939.511,0.54,0.58,7434,True
7435,-4.299,52.11,254.0,400.0,13130.0,20006,939.514,0.55,0.59,7435,True
7436,-4.297,51.79,263.0,400.0,13127.0,20005,939.524,0.57,0.611,7436,True
7437,-4.296,51.55,245.0,400.0,13136.0,20019,939.523,0.57,0.613,7437,True
7438,-4.294,51.31,265.0,400.0,13133.0,20014,939.517,0.58,0.622,7438,True
7439,-4.293,51.13,255.0,400.0,13132.0,20008,939.51,0.58,0.619,7439,True
7440,-4.291,50.93,255.0,400.0,13130.0,19999,939.503,0.58,0.621,7440,True
7441,-4.29,50.77,268.0,400.0,13131.0,19998,939.507,0.57,0.616,7441,True
7442,-4.288,50.65,271.0,400.0,13129.0,19999,939.506,0.55,0.591,7442,True
7443,-4.287,50.53,257.0,400.0,13129.0,20006,939.494,0.53,0.574,7443,True
7444,-4.285,50.43,263.0,400.0,13124.0,19999,939.499,0.5,0.532,7444,True
7445,-4.284,50.34,250.0,400.0,13133.0,20017,939.504,0.47,0.51,7445,True
7446,-4.283,50.22,268.0,400.0,13122.0,20004,939.502,0.44,0.476,7446,True
7447,-4.281000000000001,50.17,262.0,400.0,13132.0,20004,939.507,0.43,0.457,7447,True
7448,-4.28,50.03,260.0,400.0,13126.0,19999,939.49,0.4,0.426,7448,True
7449,-4.2780000000000005,50.0,259.0,400.0,13130.0,19999,939.493,0.39,0.423,7449,True
7450,-4.277,49.93,264.0,400.0,13121.0,20002,939.491,0.38,0.407,7450,True
7451,-4.276,49.85,268.0,400.0,12924.0,19999,939.486,0.37,0.395,7451,True
7452,-4.274,49.82,262.0,400.0,13130.0,19996,939.475,0.35,0.375,7452,True
7453,-4.273,49.78,256.0,400.0,13135.0,20006,939.468,0.35,0.373,7453,True
7454,-4.271,49.66,266.0,400.0,13124.0,19998,939.492,0.39,0.413,7454,True
7455,-4.27,49.59,279.0,400.0,13115.0,19982,939.491,0.4,0.429,7455,True
7456,-4.269,50.07,282.0,400.0,13110.0,19977,939.505,0.43,0.462,7456,True
7457,-4.267,50.84,282.0,400.0,13110.0,19978,939.512,0.45,0.478,7457,True
7458,-4.266,51.61,281.0,400.0,13113.0,19981,939.524,0.46,0.498,7458,True
7459,-4.265,52.2,278.0,400.0,13112.0,19977,939.514,0.48,0.517,7459,True
7460,-4.263,52.77,275.0,400.0,13117.0,19981,939.5,0.52,0.561,7460,True
7461,-4.262,53.26,282.0,400.0,13112.0,19983,939.494,0.54,0.584,7461,True
7462,-4.261,53.66,276.0,400.0,13119.0,19997,939.487,0.58,0.623,7462,True
7463,-4.259,54.02,283.0,400.0,13112.0,19991,939.494,0.59,0.632,7463,True
7464,-4.258,54.34,278.0,400.0,13116.0,19975,939.496,0.58,0.627,7464,True
7465,-4.257,54.63,268.0,400.0,13118.0,19995,939.504,0.57,0.616,7465,True
7466,-4.255,54.84,278.0,400.0,13121.0,19989,939.489,0.56,0.598,7466,True
7467,-4.254,55.04,281.0,400.0,13116.0,19985,939.473,0.54,0.5820000000000001,7467,True
7468,-4.253,55.24,276.0,400.0,13117.0,19984,939.479,0.51,0.551,7468,True
7469,-4.251,55.38,266.0,400.0,13124.0,19992,939.49,0.5,0.536,7469,True
7470,-4.25,55.56,270.0,400.0,13115.0,19978,939.483,0.48,0.512,7470,True
7471,-4.249,55.67,273.0,400.0,13122.0,19992,939.501,0.47,0.504,7471,True
7472,-4.247,55.78,262.0,400.0,13126.0,19990,939.488,0.47,0.508,7472,True
7473,-4.246,55.89,281.0,400.0,13115.0,19983,939.49,0.51,0.5429999999999999,7473,True
7474,-4.245,56.0,276.0,400.0,13119.0,19989,939.483,0.51,0.5479999999999999,7474,True
7475,-4.244,56.06,262.0,400.0,13122.0,19993,939.492,0.51,0.5479999999999999,7475,True
7476,-4.242,56.16,273.0,400.0,13119.0,19992,939.48,0.52,0.56,7476,True
7477,-4.2410000000000005,56.26,268.0,400.0,13125.0,20003,939.478,0.53,0.569,7477,True
7478,-4.24,56.3,259.0,400.0,13122.0,19992,939.483,0.53,0.5670000000000001,7478,True
7479,-4.239,56.41,285.0,400.0,13120.0,19990,939.474,0.55,0.588,7479,True
7480,-4.237,56.42,275.0,400.0,13126.0,19998,939.474,0.56,0.597,7480,True
7481,-4.236000000000001,56.54,262.0,400.0,13122.0,19993,939.476,0.56,0.602,7481,True
7482,-4.235,56.59,270.0,400.0,13122.0,19997,939.464,0.57,0.607,7482,True
7483,-4.234,56.6,268.0,400.0,13120.0,19987,939.474,0.59,0.634,7483,True
7484,-4.232,56.7,278.0,400.0,13118.0,19992,939.476,0.6,0.6459999999999999,7484,True
7485,-4.231,56.79,247.0,400.0,13137.0,20002,939.483,0.62,0.667,7485,True
7486,-4.23,56.23,256.0,400.0,13140.0,20013,939.48,0.63,0.677,7486,True
7487,-4.229,55.43,248.0,400.0,13141.0,20011,939.47,0.66,0.7090000000000001,7487,True
7488,-4.228,54.67,258.0,400.0,13137.0,20010,939.471,0.67,0.722,7488,True
7489,-4.226,53.95,252.0,400.0,13135.0,20017,939.466,0.69,0.736,7489,True
7490,-4.225,53.37,266.0,400.0,13131.0,20006,939.457,0.7,0.754,7490,True
7491,-4.224,52.86,265.0,400.0,13128.0,20002,939.471,0.71,0.7609999999999999,7491,True
7492,-4.223,52.46,259.0,400.0,13137.0,20008,939.482,0.71,0.764,7492,True
7493,-4.222,52.11,268.0,400.0,13131.0,20009,939.489,0.7,0.754,7493,True
7494,-4.22,51.82,263.0,400.0,13132.0,19999,939.483,0.7,0.755,7494,True
7495,-4.218999999999999,51.55,263.0,400.0,13126.0,19995,939.475,0.7,0.748,7495,True
7496,-4.218,51.31,262.0,400.0,13125.0,19998,939.475,0.67,0.716,7496,True
7497,-4.217,50.9,265.0,400.0,13124.0,20005,939.488,0.62,0.6659999999999999,7497,True
7498,-4.216,50.85,260.0,400.0,13136.0,20006,939.478,0.61,0.657,7498,True
7499,-4.215,50.67,266.0,400.0,13121.0,19992,939.488,0.58,0.626,7499,True
7500,-4.214,50.53,264.0,400.0,13125.0,19999,939.486,0.58,0.622,7500,True
7501,-4.212,50.46,275.0,400.0,13123.0,19998,939.483,0.56,0.598,7501,True
7502,-4.211,50.32,270.0,400.0,13122.0,19989,939.477,0.54,0.58,7502,True
7503,-4.21,50.26,276.0,400.0,13122.0,19992,939.485,0.53,0.568,7503,True
7504,-4.209,50.11,271.0,400.0,13121.0,19990,939.491,0.61,0.6509999999999999,7504,True
7505,-4.208,50.04,271.0,400.0,13124.0,19999,939.482,0.63,0.6709999999999999,7505,True
7506,-4.207,49.99,278.0,400.0,13124.0,19992,939.472,0.63,0.6759999999999999,7506,True
7507,-4.206,49.92,258.0,400.0,13130.0,20004,939.48,0.64,0.6859999999999999,7507,True
7508,-4.205,49.88,262.0,400.0,13134.0,19998,939.482,0.64,0.6829999999999999,7508,True
7509,-4.203,49.81,272.0,400.0,13124.0,19989,939.481,0.64,0.691,7509,True
7510,-4.202,49.81,279.0,400.0,13124.0,20000,939.483,0.64,0.69,7510,True
7511,-4.2010000000000005,49.72,270.0,400.0,13130.0,19998,939.474,0.64,0.685,7511,True
7512,-4.2,49.7,267.0,400.0,13130.0,19998,939.472,0.63,0.6729999999999999,7512,True
7513,-4.199,49.6,290.0,400.0,13113.0,19978,939.479,0.59,0.637,7513,True
7514,-4.198,50.09,282.0,400.0,13108.0,19978,939.491,0.57,0.615,7514,True
7515,-4.197,50.88,296.0,400.0,13111.0,19984,939.481,0.56,0.598,7515,True
7516,-4.196000000000001,51.6,284.0,400.0,13117.0,19987,939.487,0.55,0.594,7516,True
7517,-4.195,52.22,285.0,400.0,13113.0,19978,939.486,0.55,0.588,7517,True
7518,-4.194,52.77,279.0,400.0,13117.0,19978,939.484,0.57,0.613,7518,True
7519,-4.1930000000000005,53.29,285.0,400.0,13121.0,19989,939.492,0.57,0.617,7519,True
7520,-4.192,53.69,281.0,400.0,13117.0,19982,939.484,0.56,0.605,7520,True
7521,-4.191,54.02,284.0,400.0,13111.0,19974,939.479,0.55,0.5920000000000001,7521,True
7522,-4.19,54.35,284.0,400.0,13116.0,19980,939.48,0.55,0.585,7522,True
7523,-4.189,54.6,286.0,400.0,13117.0,19987,939.476,0.53,0.574,7523,True
7524,-4.188,54.85,276.0,400.0,13124.0,19987,939.48,0.53,0.564,7524,True
7525,-4.187,55.05,281.0,400.0,13120.0,19987,939.485,0.52,0.556,7525,True
7526,-4.186,55.24,282.0,400.0,13118.0,19984,939.494,0.51,0.551,7526,True
7527,-4.185,55.44,279.0,400.0,13122.0,19986,939.489,0.51,0.552,7527,True
7528,-4.184,55.56,281.0,400.0,13118.0,19986,939.491,0.52,0.5539999999999999,7528,True
7529,-4.183,55.68,278.0,400.0,13117.0,19982,939.494,0.52,0.5539999999999999,7529,True
7530,-4.182,55.79,279.0,400.0,13121.0,19986,939.48,0.52,0.561,7530,True
7531,-4.181,55.89,281.0,400.0,13125.0,19996,939.47,0.53,0.5670000000000001,7531,True
7532,-4.18,56.01,280.0,400.0,13122.0,19992,939.47,0.53,0.568,7532,True
7533,-4.178999999999999,56.1,280.0,400.0,13111.0,19974,939.468,0.53,0.564,7533,True
7534,-4.178,56.15,283.0,400.0,13119.0,19975,939.472,0.52,0.555,7534,True
7535,-4.177,56.27,276.0,400.0,13124.0,19992,939.473,0.5,0.542,7535,True
7536,-4.176,56.3,275.0,400.0,13120.0,19988,939.469,0.51,0.544,7536,True
7537,-4.175,56.43,279.0,400.0,13122.0,19983,939.476,0.51,0.547,7537,True
7538,-4.174,56.48,276.0,400.0,13115.0,19991,939.472,0.5,0.54,7538,True
7539,-4.173,56.53,274.0,400.0,13120.0,19990,939.479,0.49,0.529,7539,True
7540,-4.172,56.59,277.0,400.0,13119.0,19983,939.484,0.5,0.534,7540,True
7541,-4.171,56.64,280.0,400.0,13119.0,19991,938.6276438669073,0.49,0.525,7541,True
7542,-4.17,56.72,269.0,400.0,13126.0,19991,939.474,0.48,0.514,7542,True
7543,-4.169,56.85,255.0,400.0,13137.0,20011,939.47,0.48,0.513,7543,True
7544,-4.168,56.24,255.0,400.0,13136.0,19997,939.468,0.48,0.513,7544,True
7545,-4.168,55.42,264.0,400.0,13136.0,20000,939.47,0.49,0.521,7545,True
7546,-4.167,54.03,259.0,400.0,13131.0,19998,939.458,0.48,0.513,7546,True
7547,-4.166,53.48,267.0,400.0,13127.0,19995,939.445,0.49,0.527,7547,True
7548,-4.165,52.93,272.0,400.0,13134.0,20001,939.44,0.49,0.528,7548,True
7549,-4.164,52.54,263.0,400.0,13135.0,20001,939.451,0.48,0.514,7549,True
7550,-4.163,52.18,264.0,400.0,13135.0,20008,939.446,0.47,0.502,7550,True
7551,-4.162,51.85,273.0,400.0,13122.0,19992,939.45,0.44,0.469,7551,True
7552,-4.1610000000000005,51.62,275.0,400.0,13125.0,19996,939.454,0.43,0.4589999999999999,7552,True
7553,-4.1610000000000005,51.39,267.0,400.0,13131.0,19999,939.475,0.41,0.439,7553,True
7554,-4.16,51.14,264.0,400.0,13132.0,19996,939.465,0.4,0.428,7554,True
7555,-4.159,50.95,272.0,400.0,13125.0,20000,939.465,0.39,0.416,7555,True
7556,-4.158,50.85,265.0,400.0,13124.0,19994,939.468,0.39,0.421,7556,True
7557,-4.157,50.69,270.0,400.0,13128.0,20002,939.466,0.39,0.417,7557,True
7558,-4.156000000000001,50.47,272.0,400.0,13127.0,19998,939.467,0.38,0.407,7558,True
7559,-4.155,50.32,275.0,400.0,13127.0,19995,939.465,0.36,0.39,7559,True
7560,-4.155,50.21,273.0,400.0,13127.0,19995,939.459,0.36,0.382,7560,True
7561,-4.154,50.13,282.0,400.0,13122.0,19989,939.459,0.35,0.3779999999999999,7561,True
7562,-4.1530000000000005,50.11,275.0,400.0,13121.0,19995,939.46,0.34,0.36,7562,True
7563,-4.152,50.04,270.0,400.0,13122.0,19992,939.473,0.32,0.349,7563,True
7564,-4.151,49.89,277.0,400.0,13124.0,19986,939.48,0.36,0.382,7564,True
7565,-4.15,49.86,276.0,400.0,13120.0,19985,939.483,0.36,0.391,7565,True
7566,-4.15,49.8,284.0,400.0,13127.0,19993,939.484,0.39,0.417,7566,True
7567,-4.149,49.78,270.0,400.0,13123.0,19994,939.481,0.39,0.423,7567,True
7568,-4.148,49.68,269.0,400.0,13123.0,19990,939.481,0.39,0.421,7568,True
7569,-4.147,49.62,297.0,400.0,13108.0,19971,939.471,0.39,0.415,7569,True
7570,-4.147,50.14,308.0,400.0,13105.0,19961,939.472,0.37,0.3929999999999999,7570,True
7571,-4.146,50.86,297.0,400.0,13106.0,19973,939.467,0.35,0.379,7571,True
7572,-4.145,52.22,287.0,400.0,13114.0,19978,939.456,0.31,0.3329999999999999,7572,True
7573,-4.144,52.72,287.0,400.0,13112.0,19971,939.446,0.3,0.324,7573,True
7574,-4.143,53.19,277.0,400.0,13115.0,19987,939.454,0.28,0.303,7574,True
7575,-4.143,53.62,284.0,400.0,13116.0,19984,939.46,0.27,0.291,7575,True
7581,-4.138,55.25,281.0,400.0,13119.0,19984,939.47,0.28,0.299,7581,True
7582,-4.138,55.36,280.0,400.0,13119.0,19980,939.456,0.31,0.336,7582,True
7583,-4.137,55.55,276.0,400.0,13120.0,19988,939.452,0.33,0.352,7583,True
7584,-4.136,55.63,292.0,400.0,13111.0,19976,939.454,0.34,0.366,7584,True
7585,-4.135,55.76,284.0,400.0,13118.0,19980,939.462,0.34,0.366,7585,True
7586,-4.135,55.88,284.0,400.0,13113.0,19979,939.446,0.34,0.37,7586,True
7587,-4.134,56.17,276.0,400.0,13119.0,19991,939.449,0.34,0.362,7587,True
7588,-4.133,56.23,281.0,400.0,13120.0,19987,939.437,0.33,0.353,7588,True
7589,-4.133,56.32,279.0,400.0,13118.0,19991,939.445,0.31,0.33,7589,True
7590,-4.132,56.43,278.0,400.0,13123.0,19984,939.436,0.29,0.316,7590,True
7591,-4.131,56.49,290.0,400.0,13116.0,19986,939.446,0.28,0.296,7591,True
7592,-4.131,56.51,277.0,400.0,13120.0,19989,939.453,0.28,0.296,7592,True
7593,-4.13,56.59,285.0,400.0,13116.0,19980,939.458,0.28,0.295,7593,True
7594,-4.129,56.68,285.0,400.0,13113.0,19974,939.468,0.28,0.302,7594,True
7595,-4.129,56.68,289.0,400.0,13115.0,19975,939.473,0.29,0.313,7595,True
7596,-4.128,56.34,252.0,400.0,13135.0,19997,939.466,0.35,0.377,7596,True
7597,-4.127,55.55,259.0,400.0,13129.0,20003,939.481,0.36,0.385,7597,True
7598,-4.127,54.75,258.0,400.0,13134.0,20004,939.481,0.36,0.391,7598,True
7599,-4.126,54.03,262.0,400.0,13134.0,20006,939.488,0.37,0.396,7599,True
7600,-4.125,53.47,267.0,400.0,13126.0,19989,939.484,0.38,0.4029999999999999,7600,True
7601,-4.125,52.96,268.0,400.0,13128.0,19985,939.477,0.38,0.4029999999999999,7601,True
7602,-4.124,52.19,262.0,400.0,13129.0,19997,939.475,0.37,0.396,7602,True
7603,-4.123,51.93,266.0,400.0,13127.0,19996,939.468,0.36,0.384,7603,True
7604,-4.123,51.6,278.0,400.0,13121.0,19984,939.481,0.36,0.382,7604,True
7605,-4.122,51.39,271.0,400.0,13128.0,19994,939.472,0.36,0.3829999999999999,7605,True
7606,-4.122,51.15,275.0,400.0,13125.0,19986,939.466,0.37,0.3929999999999999,7606,True
7607,-4.121,51.02,268.0,400.0,13127.0,19994,939.465,0.4,0.426,7607,True
7608,-4.12,50.86,268.0,400.0,13129.0,19993,939.474,0.4,0.432,7608,True
7609,-4.12,50.7,276.0,400.0,13124.0,19983,939.473,0.4,0.429,7609,True
7610,-4.119,50.6,282.0,400.0,13118.0,19987,939.478,0.4,0.429,7610,True
7611,-4.119,50.48,268.0,400.0,13128.0,19990,939.477,0.4,0.426,7611,True
7612,-4.118,50.35,277.0,400.0,13128.0,19994,939.47,0.39,0.422,7612,True
7613,-4.117,50.22,271.0,400.0,13126.0,19989,939.474,0.37,0.4,7613,True
7614,-4.117,50.1,286.0,400.0,13127.0,19989,939.466,0.38,0.405,7614,True
7615,-4.1160000000000005,50.01,278.0,400.0,13122.0,19989,939.475,0.37,0.4,7615,True
7616,-4.1160000000000005,49.92,273.0,400.0,13120.0,19989,939.483,0.36,0.39,7616,True
7617,-4.115,49.85,273.0,400.0,13129.0,19993,939.483,0.34,0.37,7617,True
7618,-4.115,49.78,282.0,400.0,13125.0,19987,939.474,0.34,0.361,7618,True
7619,-4.114,49.76,276.0,400.0,13125.0,19994,939.461,0.31,0.337,7619,True
7620,-4.114,49.66,281.0,400.0,13115.0,19983,939.462,0.3,0.324,7620,True
7621,-4.113,50.15,304.0,400.0,13106.0,19963,939.465,0.28,0.303,7621,True
7622,-4.112,50.93,296.0,400.0,13112.0,19966,939.471,0.27,0.295,7622,True
7628,-4.109,54.07,286.0,400.0,13107.0,19973,939.45,0.27,0.293,7628,True
7629,-4.109,54.35,281.0,400.0,13110.0,19974,939.445,0.28,0.298,7629,True
7630,-4.1080000000000005,54.66,286.0,400.0,13112.0,19982,939.437,0.29,0.311,7630,True
7631,-4.1080000000000005,54.86,294.0,400.0,13118.0,19979,939.45,0.3,0.319,7631,True
7632,-4.107,55.1,297.0,400.0,13117.0,19971,939.452,0.32,0.345,7632,True
7633,-4.107,55.23,282.0,400.0,13115.0,19980,939.454,0.34,0.361,7633,True
7634,-4.106,55.46,290.0,400.0,13113.0,19967,939.449,0.36,0.382,7634,True
7635,-4.106,55.55,290.0,400.0,13117.0,19981,939.448,0.37,0.395,7635,True
7636,-4.105,55.82,286.0,400.0,13115.0,19979,939.451,0.38,0.409,7636,True
7637,-4.105,55.94,291.0,400.0,13111.0,19966,939.457,0.39,0.417,7637,True
7638,-4.105,56.04,981.0,400.0,13120.0,19984,939.464,0.39,1.942,7638,True
7639,-4.104,56.12,286.0,400.0,13117.0,19970,939.452,0.38,0.412,7639,True
7640,-4.104,56.24,285.0,400.0,13119.0,19977,939.447,0.38,0.407,7640,True
7641,-4.103,56.28,289.0,400.0,13113.0,19975,939.444,0.38,0.407,7641,True
7642,-4.103,56.37,284.0,400.0,13119.0,19979,939.44,0.37,0.395,7642,True
7643,-4.102,56.41,289.0,400.0,13113.0,19969,939.433,0.37,0.3929999999999999,7643,True
7644,-4.102,56.54,288.0,400.0,13111.0,19974,939.429,0.36,0.387,7644,True
7645,-4.101,56.59,281.0,400.0,13123.0,19985,939.437,0.36,0.3829999999999999,7645,True
7646,-4.101,56.62,287.0,400.0,13116.0,19980,939.433,0.35,0.38,7646,True
7647,-4.101,56.67,279.0,400.0,13118.0,19983,939.44,0.36,0.382,7647,True
7648,-4.1,56.72,278.0,400.0,13113.0,19980,939.447,0.35,0.373,7648,True
7649,-4.1,56.82,267.0,400.0,13128.0,19992,939.441,0.35,0.381,7649,True
7650,-4.099,56.27,257.0,400.0,13139.0,20004,939.44,0.36,0.389,7650,True
7651,-4.099,55.49,264.0,400.0,13130.0,19999,939.437,0.39,0.413,7651,True
7652,-4.099,54.71,257.0,400.0,13133.0,20008,939.439,0.42,0.452,7652,True
7653,-4.098,54.01,270.0,400.0,13131.0,19999,939.439,0.44,0.4679999999999999,7653,True
7654,-4.098,53.43,265.0,400.0,13131.0,20000,939.433,0.44,0.477,7654,True
7655,-4.097,52.91,271.0,400.0,13127.0,19995,939.431,0.44,0.474,7655,True
7656,-4.097,52.49,269.0,400.0,13129.0,20000,939.427,0.45,0.482,7656,True
7657,-4.097,52.17,271.0,400.0,13128.0,19985,939.423,0.45,0.481,7657,True
7658,-4.096,51.83,279.0,400.0,13119.0,19983,939.416,0.45,0.482,7658,True
7659,-4.096,51.6,273.0,400.0,13127.0,19995,939.432,0.45,0.483,7659,True
7660,-4.095,51.36,277.0,400.0,13119.0,19988,939.428,0.44,0.477,7660,True
7661,-4.095,51.16,281.0,400.0,13119.0,19974,939.43,0.45,0.478,7661,True
7662,-4.095,51.01,279.0,400.0,13125.0,19986,939.428,0.45,0.482,7662,True
7663,-4.093999999999999,50.81,981.0,400.0,13120.0,19987,939.423,0.46,0.497,7663,True
7664,-4.093999999999999,50.65,276.0,400.0,13123.0,19990,939.435,0.46,0.499,7664,True
7665,-4.093999999999999,50.57,283.0,400.0,13123.0,19977,939.433,0.46,0.496,7665,True
7666,-4.093,50.46,280.0,400.0,13122.0,19985,939.438,0.46,0.491,7666,True
7667,-4.093,50.38,277.0,400.0,13127.0,19991,939.447,0.46,0.492,7667,True
7668,-4.093,50.3,282.0,400.0,13123.0,19989,939.435,0.46,0.489,7668,True
7669,-4.092,50.14,269.0,400.0,13124.0,19988,939.421,0.48,0.512,7669,True
7670,-4.092,50.07,270.0,400.0,13124.0,19989,939.428,0.48,0.517,7670,True
7671,-4.092,50.04,289.0,400.0,13123.0,19981,939.428,0.48,0.51,7671,True
7672,-4.091,49.96,281.0,400.0,13123.0,19981,939.426,0.47,0.5,7672,True
7673,-4.091,49.9,279.0,400.0,13120.0,19986,939.436,0.45,0.486,7673,True
7674,-4.091,49.87,981.0,400.0,13124.0,19991,939.429,0.45,0.482,7674,True
7675,-4.091,49.8,278.0,400.0,13120.0,19988,939.435,0.46,0.491,7675,True
7676,-4.09,49.76,280.0,400.0,13122.0,19980,939.444,0.45,0.487,7676,True
7677,-4.09,49.72,282.0,400.0,13123.0,19983,939.439,0.44,0.467,7677,True
7678,-4.09,49.63,297.0,400.0,13112.0,19971,939.453,0.43,0.462,7678,True
7679,-4.089,50.16,300.0,400.0,13110.0,19967,939.455,0.41,0.44,7679,True
7680,-4.089,50.86,303.0,400.0,13105.0,19960,939.466,0.42,0.45,7680,True
7681,-4.089,52.2,298.0,400.0,13104.0,19962,939.453,0.42,0.4529999999999999,7681,True
7682,-4.089,53.16,296.0,400.0,13112.0,19963,939.451,0.4,0.433,7682,True
7683,-4.088,53.62,291.0,400.0,13112.0,19974,939.449,0.39,0.421,7683,True
7684,-4.088,54.25,301.0,400.0,13115.0,19980,939.427,0.35,0.374,7684,True
7685,-4.088,54.77,297.0,400.0,13115.0,19974,939.439,0.32,0.342,7685,True
7686,-4.088,50.14,287.0,400.0,13118.0,19978,939.441,0.31,0.3279999999999999,7686,True
